4.8448,4.4187,4.0055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4859,4.0203,4.1845,4.1984,4.3071,4.4082,3.3374,NaN,NaN,3.2442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5136,3.5212,3.6185,3.9508,3.9987,3.9096,3.8841,3.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.608,3.9651,3.8047,3.7703,3.6071,3.4681,3.5113,3.4246,3.2633,3.3106,3.6784,3.6846,3.7229,3.8016,3.6707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8007,3.7523,3.6463,3.6883,3.4425,NaN,NaN,4.1186,4.5438,4.9438
3.7035,3.3395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4152,NaN,3.78,3.8922,4.1432,4.1018,3.8438,NaN,3.3599,3.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2148,NaN,3.5039,3.6192,3.7578,4.1427,4.1771,3.9944,3.8578,3.5332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6549,3.971,3.9144,3.8049,3.6935,3.6934,3.5944,3.3947,3.3984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2328,4.2225,4.202,4.3119,3.8976,3.2905,3.258,3.4813,NaN,3.7473
3.6271,3.2926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4214,3.7838,3.6661,3.3983,3.413,3.6284,3.2589,NaN,3.7393,4.1068,4.1708,3.9443,3.671,3.6614,NaN,3.8199,3.3507,3.2716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4248,3.4833,3.7171,3.9346,3.8205,4.0285,4.1853,4.279,4.1483,3.4899,3.7695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9363,4.0204,3.9315,4.054,3.8424,3.7594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7971,4.7827,4.9498,4.8577,4.2469,3.9951,3.4968,NaN,NaN,3.5053
3.6735,3.4206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2866,3.376,4.1279,4.0183,4.1987,3.8939,4.3309,3.5251,3.6339,4.0561,4.3823,4.3803,3.9612,3.7879,3.6525,3.726,3.3371,NaN,3.2554,3.4026,NaN,3.3691,3.2202,3.2427,3.2864,NaN,3.6337,3.6089,3.8966,3.5547,3.7883,4.0983,4.3263,4.1494,4.4219,4.52,4.5197,4.2059,3.6378,4.4247,3.7429,3.5963,NaN,3.3248,NaN,3.2085,NaN,NaN,NaN,3.2265,3.3371,3.2637,4.1904,3.9545,3.7885,3.9392,4.083,NaN,NaN,3.2285,3.3612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3307,4.7205,5.0255,4.9135,4.7334,3.8559,3.9569,NaN,NaN,3.5943
3.8623,3.5585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5776,4.6392,4.0152,4.1777,4.4458,4.3874,3.4672,3.5149,4.2057,4.4905,4.5144,4.1866,3.9056,3.5838,3.693,3.7786,3.9389,4.2962,3.8418,3.469,3.431,3.3303,3.2791,3.5239,3.5721,4.5491,3.8836,3.9165,4.063,3.8909,4.069,4.1714,4.1874,4.3538,4.37,3.9879,3.9909,3.8582,4.4151,3.6609,3.5698,3.5301,3.3318,NaN,3.5282,NaN,NaN,3.2918,3.4684,3.9218,3.8184,4.5349,4.4761,4.1166,3.8784,3.8166,NaN,NaN,3.2549,NaN,NaN,NaN,3.3312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.62,4.9882,5.3713,5.039,4.7396,4.0078,4.0521,NaN,NaN,3.7355
4.0056,3.8381,3.2991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3014,4.4789,4.3203,4.2986,4.345,3.5483,3.4647,3.899,4.6613,4.6478,4.1782,3.6042,3.5174,3.759,3.8992,4.4112,4.5037,3.9654,3.6977,3.6811,NaN,NaN,3.7029,3.8973,6.2717,4.5604,4.1698,4.0766,4.1048,4.0096,3.9999,3.7976,3.6388,3.8653,3.8847,3.8052,4.0301,4.1733,3.8819,3.2441,NaN,NaN,3.5247,4.0804,3.3882,3.3985,3.4011,3.7698,5.4974,4.988,4.7243,4.6574,4.4444,3.908,3.8398,NaN,NaN,NaN,NaN,3.319,3.3655,3.2754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.405,5.1438,5.1121,4.8756,4.3011,4.0363,NaN,NaN,3.5773
3.6093,4.1603,3.4459,3.2173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2062,4.1606,4.0787,3.7193,3.7837,3.2543,3.8458,4.3018,4.6468,4.0594,3.6602,3.4351,3.8431,4.0336,4.242,4.198,3.7916,3.3474,NaN,NaN,3.2852,3.6885,4.0121,4.2205,4.5604,4.3867,4.5366,5.0184,4.225,3.5307,3.3576,3.507,4.0193,3.9737,3.5,3.825,3.8728,4.016,3.7451,3.5295,3.5022,3.5149,3.3751,3.3716,3.4312,3.515,3.8782,4.2655,4.7846,4.685,4.7902,5.0164,4.0796,3.8455,NaN,NaN,3.2324,3.4224,NaN,3.3327,NaN,3.2369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4919,3.3919,4.8384,4.7879,3.8792,3.3131,3.2416,3.5589,3.3969
3.2942,3.4167,3.3675,3.2799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4441,3.6996,NaN,3.824,3.7616,3.345,3.9708,4.3884,4.2961,3.9673,3.5589,3.6646,3.7348,3.8341,4.1719,3.6029,3.4497,NaN,3.2645,3.4232,3.481,3.6036,3.8445,4.0745,4.382,4.3574,4.6409,5.0619,3.3598,NaN,3.3861,3.6652,4.0298,3.9281,3.5585,3.5515,3.6118,3.7931,4.7725,3.6661,3.3812,3.3935,3.3466,3.3713,3.4046,3.5585,3.8658,4.0965,4.4768,4.449,4.4056,4.6039,3.3243,NaN,NaN,NaN,NaN,3.2976,3.308,3.2121,NaN,3.2928,3.6976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4562,4.2729,4.4423,NaN,NaN,NaN,3.2354,3.21
NaN,NaN,3.2027,3.2464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9609,3.8124,NaN,4.5695,4.6688,4.4273,4.146,3.8442,3.9484,3.8278,3.7495,3.6705,NaN,NaN,3.3263,3.3525,3.6828,3.6677,3.7997,3.9573,4.171,4.1808,4.3269,4.7393,4.0991,3.6875,NaN,3.8124,3.974,4.1241,4.0115,4.1796,3.8243,3.2144,3.668,4.0014,3.3644,NaN,3.2811,3.2668,3.3882,3.4488,3.6044,3.9647,4.3644,4.4577,4.2613,4.2809,3.6091,3.476,NaN,3.2051,NaN,NaN,NaN,3.6196,3.4079,NaN,3.2049,3.4148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.434,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7064,3.8868,4.0802,4.5844,4.7159,4.3908,4.2442,4.1403,3.8946,3.8069,3.7955,3.6083,NaN,NaN,3.4059,3.5728,3.6557,3.8291,3.9519,4.1424,4.4959,4.5753,4.3942,4.9583,4.4125,4.3194,3.9365,3.9941,4.0161,3.8162,3.7911,4.0701,3.5435,3.7713,3.8949,3.6539,NaN,NaN,3.2584,3.4216,3.3338,3.487,3.762,4.2784,4.6443,4.7671,4.5494,4.5368,4.0199,3.8483,3.4121,3.2059,NaN,NaN,NaN,3.2599,NaN,3.2377,3.2877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2659,NaN,NaN,NaN
